Lambda	tu-berlin00004	tu-berlin00005	tu-berlin00006
727.0	0.821114	0.055021	0.651102
728.0	0.815952	0.044857	0.649144
729.0	0.811994	0.042076	0.649379
730.0	0.808959	0.043616	0.650860
731.0	0.810049	0.056311	0.655894
732.0	0.807200	0.062995	0.658404
733.0	0.799453	0.062565	0.657872
734.0	0.799375	0.064022	0.660614
735.0	0.800947	0.064967	0.662930
736.0	0.802934	0.062682	0.661251
737.0	0.806990	0.068454	0.667202
738.0	0.812845	0.079962	0.678877
739.0	0.817420	0.077308	0.685073
740.0	0.826937	0.081329	0.690840
741.0	0.844861	0.097283	0.695576
742.0	0.854513	0.095847	0.701079
743.0	0.865800	0.091550	0.706070
744.0	0.884835	0.092934	0.705472
745.0	0.900629	0.087204	0.700718
746.0	0.915314	0.078839	0.693081
747.0	0.924583	0.110442	0.696288
748.0	0.938198	0.119272	0.698444
749.0	0.958611	0.094250	0.699039
750.0	0.970991	0.097577	0.702364
751.0	0.988640	0.109576	0.703634
752.0	1.018540	0.133783	0.698343
753.0	1.036268	0.134397	0.691957
754.0	1.047176	0.124725	0.684072
755.0	1.041965	0.113736	0.672962
756.0	1.054526	0.122560	0.670540
757.0	1.084177	0.150049	0.676286
758.0	1.079163	0.175640	0.681727
759.0	1.078255	0.177909	0.677093
760.0	1.084602	0.140218	0.655374
761.0	1.101688	0.151035	0.654258
762.0	1.115218	0.166666	0.652568
763.0	1.102859	0.157150	0.632351
764.0	1.087201	0.148569	0.617576
765.0	1.071146	0.143674	0.607575
766.0	1.064396	0.168276	0.612139
767.0	1.052667	0.159411	0.598390
768.0	1.037024	0.119247	0.567458
769.0	1.017752	0.157060	0.555157
770.0	0.988543	0.172907	0.546451
771.0	0.945771	0.153430	0.542655
772.0	0.929093	0.154003	0.514021
773.0	0.918823	0.162796	0.487514
774.0	0.910937	0.184227	0.477618
775.0	0.909045	0.161380	0.460767
776.0	0.913695	0.121342	0.447161
777.0	0.944302	0.137505	0.495499
778.0	0.952473	0.135082	0.508054
779.0	0.938507	0.113730	0.486007
780.0	0.935446	0.195637	0.499459

File	x	y	R (lin)	G (lin)	B (lin)	R (gamma)	G (gamma)	B (gamma)
tu-berlin00004	0.600135	0.376664	1.336641	0.124401	-0.018643	255	99	0
tu-berlin00005	0.165540	0.203058	-0.054834	0.149463	0.384817	0	108	167
tu-berlin00006	0.371081	0.356699	0.620111	0.383748	0.281830	206	166	145
