wavelength,A,D65,D50
671.00000000,179.44182861,82.06304693,102.87586081
672.00000000,180.11314446,81.69513775,102.52831090
673.00000000,180.78294602,81.23492512,102.05083060
674.00000000,181.45123171,80.74326165,101.53390019
675.00000000,182.11800000,80.28100000,101.06800000
676.00000000,182.78324911,79.89094190,100.71530822
677.00000000,183.44697647,79.54368555,100.42479465
678.00000000,184.10917927,79.19177825,100.11712696
679.00000000,184.76985471,78.78776730,99.71297285
680.00000000,185.42900000,78.28420000,99.13300000
681.00000000,186.08660693,77.64474787,98.31737831
682.00000000,186.74264566,76.87757925,97.28428651
683.00000000,187.39708092,76.00198670,96.07140556
684.00000000,188.04987745,75.03726276,94.71641641
685.00000000,188.70100000,74.00270000,93.25700000
686.00000000,189.35041915,72.92770102,91.74418655
687.00000000,189.99812888,71.88210864,90.28240331
688.00000000,190.64412905,70.94587576,88.98942679
689.00000000,191.28841947,70.19895525,87.98303352
690.00000000,191.93100000,69.72130000,87.38100000
691.00000000,192.57186848,69.56482166,87.26057150
692.00000000,193.21101480,69.66926697,87.53686827
693.00000000,193.84842689,69.94634146,88.08447928
694.00000000,194.48409265,70.30775063,88.77799353
695.00000000,195.11800000,70.66520000,89.49200000
696.00000000,195.75013895,70.94884595,90.12207944
697.00000000,196.38050791,71.16264826,90.64777962
698.00000000,197.00910739,71.32901761,91.06964009
699.00000000,197.63593792,71.47036464,91.38820037
700.00000000,198.26100000,71.60910000,91.60400000
701.00000000,198.88428774,71.76708256,91.72626274
702.00000000,199.50576957,71.96396397,91.79894923
703.00000000,200.12540754,72.21884410,91.87470436
704.00000000,200.74316367,72.55082283,92.00617299
705.00000000,201.35900000,72.97900000,92.24600000
706.00000000,201.97288611,73.49941663,92.61463761
707.00000000,202.58482181,74.01587826,93.00376744
708.00000000,203.19481445,74.40913157,93.27287847
709.00000000,203.80287140,74.55992326,93.28145967
710.00000000,204.40900000,74.34900000,92.88900000
711.00000000,205.01320782,73.69136214,91.99401882
712.00000000,205.61550319,72.63902461,90.65115700
713.00000000,206.21589465,71.27825601,88.95408576
714.00000000,206.81439074,69.69532494,86.99647635
715.00000000,207.41100000,67.97650000,84.87200000
716.00000000,208.00572262,66.21797483,82.68895909
717.00000000,208.59852544,64.55564332,80.61418056
718.00000000,209.18936695,63.13532438,78.82912249
719.00000000,209.77820564,62.10283697,77.51524294
720.00000000,210.36500000,61.60400000,76.85400000
721.00000000,210.94971770,61.73284494,76.96280880
722.00000000,211.53236306,62.37625333,77.70291274
723.00000000,212.11294957,63.36931926,78.87151228
724.00000000,212.69149072,64.54713679,80.26580788
725.00000000,213.26800000,65.74480000,81.68300000
726.00000000,213.84248658,66.82641502,82.95626170
727.00000000,214.41494233,67.77213616,84.06265647
728.00000000,214.98535479,68.59112979,85.01522038
729.00000000,215.55371150,69.29256228,85.82698953
730.00000000,216.12000000,69.88560000,86.51100000
731.00000000,216.68420797,70.38693420,87.08888840
732.00000000,217.24632361,70.84335564,87.61669340
733.00000000,217.80633527,71.30917999,88.15905420
734.00000000,218.36423129,71.83872289,88.78061000
735.00000000,218.92000000,72.48630000,89.54600000
736.00000000,219.47363355,73.27175699,90.47816072
737.00000000,220.02513922,74.07705967,91.43321795
738.00000000,220.57452813,74.74970385,92.22559483
739.00000000,221.12181136,75.13718535,92.66971447
740.00000000,221.66700000,75.08700000,92.58000000
741.00000000,222.21009785,74.49789462,91.83308474
742.00000000,222.75107949,73.47362008,90.55444280
743.00000000,223.28991221,72.16917822,88.93175849
744.00000000,223.82656328,70.73957090,87.15271612
745.00000000,224.36100000,69.33980000,85.40500000
746.00000000,224.89319906,68.08790051,83.83249232
747.00000000,225.42317481,66.95404003,82.40386684
748.00000000,225.95095104,65.87141929,81.04399520
749.00000000,226.47655151,64.77323903,79.67774904
750.00000000,227.00000000,63.59270000,78.23000000
751.00000000,227.52131393,62.27011294,76.63219397
752.00000000,228.04048527,60.77422862,74.84207382
753.00000000,228.55749965,59.08090784,72.82395670
754.00000000,229.07234268,57.16601137,70.54215971
755.00000000,229.58500000,55.00540000,67.96100000
756.00000000,230.09545724,52.62890614,65.11180381
757.00000000,230.60370012,50.28224869,62.29393386
758.00000000,231.10971438,48.26511817,59.87376201
759.00000000,231.61348576,46.87720510,58.21766011
760.00000000,232.11500000,46.41820000,57.69200000
761.00000000,232.61424912,47.09232010,58.54686281
762.00000000,233.11125025,48.72188942,60.56716673
763.00000000,233.60602683,51.03375869,63.42153925
764.00000000,234.09860227,53.75477864,66.77860785
765.00000000,234.58900000,56.61180000,70.30700000
766.00000000,235.07723429,59.35910307,73.70736097
767.00000000,235.56328287,61.86068643,76.80840721
768.00000000,236.04711429,64.00797827,79.47087297
769.00000000,236.52869715,65.69240673,81.55549249
770.00000000,237.00800000,66.80540000,82.92300000
771.00000000,237.48499771,67.27914844,83.48588531
772.00000000,237.95969028,67.20889125,83.36366041
773.00000000,238.43208400,66.73062985,82.72759286
774.00000000,238.90218514,65.98036563,81.74895021
775.00000000,239.37000000,65.09410000,80.59900000
776.00000000,239.83553486,64.20783437,79.44900979
777.00000000,240.29879600,63.45757015,78.47024714
778.00000000,240.75978972,62.97930875,77.83397959
779.00000000,241.21852229,62.90905156,77.71147469
780.00000000,241.67500000,63.38280000,78.27400000
